#,"URL Rating (desc)","Domain Rating","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language
50,6,37,http://mademoisellelek.com/category/fooding-bars/page/3/,"Fooding & Bars Archives - Page 3 of 76 - Mademoiselle Le K Blog-Trotter",161,40,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-07-29 16:23:10","2017-08-22 15:22:24","2017-09-26 04:01:46",en
51,6,37,http://mademoisellelek.com/tag/portugal/page/5/,"Portugal Archives - Page 5 of 32 - Mademoiselle Le K Blog-Trotter",175,42,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-01-20 20:33:25","2017-08-27 14:03:40","2017-09-25 08:07:30",en
52,6,37,http://mademoisellelek.com/category/on-the-road-again/page/20/,"""On the road again"" Archives - Page 20 of 238 - Mademoiselle Le K Blog-Trotter",161,42,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-09-01 18:36:30","2017-09-01 18:36:30",,fr
53,6,37,http://mademoisellelek.com/blog/page/21/,"BLOG - Page 21 of 1069 - Mademoiselle Le K Blog-Trotter",158,50,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-09-02 15:01:06","2017-09-02 15:01:06",,en
54,6,37,http://mademoisellelek.com/category/fooding-bars/page/4/,"Fooding & Bars Archives - Page 4 of 77 - Mademoiselle Le K Blog-Trotter",148,36,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-09-17 20:10:40","2017-09-17 20:10:40",,fr
55,6,37,http://mademoisellelek.com/category/hotels/page/4/,"Hotels Archives - Page 4 of 80 - Mademoiselle Le K Blog-Trotter",175,43,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-08-14 17:31:06","2017-09-18 02:44:34",,fr
56,6,37,http://mademoisellelek.com/tag/europe/page/9/,"Europe Archives - Page 9 of 531 - Mademoiselle Le K Blog-Trotter",148,36,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-06-21 08:14:48","2017-09-14 02:58:25",,fr
57,6,37,http://mademoisellelek.com/tag/hotel-review/page/6/,"Hotel Review Archives - Page 6 of 25 - Mademoiselle Le K Blog-Trotter",170,41,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,,"2017-08-10 06:41:01","2017-09-10 03:28:11",,en
58,6,37,http://mademoisellelek.com/category/architecture-2/,"Architecture Archives - Mademoiselle Le K Blog-Trotter",174,43,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2016-12-28 07:36:11","2017-09-10 16:23:04","2017-09-18 21:37:25",en
59,6,37,http://mademoisellelek.com/tag/decoration/,"Décoration Archives - Mademoiselle Le K Blog-Trotter",203,49,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-01-09 22:37:20","2017-09-08 17:01:46","2017-09-16 15:19:55",fr
60,6,37,http://mademoisellelek.com/blog/page/14/,"BLOG - Page 14 of 1062 - Mademoiselle Le K Blog-Trotter",160,40,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-04-26 18:44:55","2017-05-30 00:01:13","2017-06-27 06:34:53",fr
61,6,37,http://mademoisellelek.com/tag/hotel-review/page/3/,"Hotel Review Archives - Page 3 of 21 - Mademoiselle Le K Blog-Trotter",148,34,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-03-21 18:43:49","2017-05-25 23:40:30","2017-06-27 22:21:46",fr
62,6,37,http://mademoisellelek.com/tag/tested/,"Tested Archives - Mademoiselle Le K Blog-Trotter",158,34,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-01-07 22:40:40","2017-05-31 10:40:07","2017-07-11 20:52:25",en
63,6,37,http://mademoisellelek.com/blog/page/19/,"BLOG - Page 19 of 1067 - Mademoiselle Le K Blog-Trotter",158,47,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-07-26 05:01:22","2017-07-26 05:01:22","2017-08-22 17:11:58",en
64,6,37,http://mademoisellelek.com/category/hotels/page/3/,"Hotels Archives - Page 3 of 78 - Mademoiselle Le K Blog-Trotter",148,34,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-06-29 22:47:45","2017-07-24 17:53:05","2017-08-29 23:39:57",en
65,6,37,http://mademoisellelek.com/category/hotels/page/2/,"Hotels Archives - Page 2 of 77 - Mademoiselle Le K Blog-Trotter",147,34,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2016-12-21 05:56:59","2017-06-05 04:06:24","2017-07-06 18:48:40",en
66,6,37,http://mademoisellelek.com/category/on-the-road-again/page/15/,"""On the road again"" Archives - Page 15 of 234 - Mademoiselle Le K Blog-Trotter",175,41,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-06-04 20:27:53","2017-06-04 20:27:53","2017-07-06 22:36:05",fr
67,6,37,http://mademoisellelek.com/category/on-the-road-again/page/16/,"""On the road again"" Archives - Page 16 of 234 - Mademoiselle Le K Blog-Trotter",158,41,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-06-06 08:04:41","2017-06-06 08:04:41","2017-07-02 16:48:16",fr
68,6,37,http://mademoisellelek.com/tag/breakfast/,"Breakfast Archives - Mademoiselle Le K Blog-Trotter",177,36,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2016-12-20 15:52:17","2017-06-08 12:48:20","2017-06-09 12:42:46",en
69,6,37,http://mademoisellelek.com/tag/europe/page/8/,"Europe Archives - Page 8 of 530 - Mademoiselle Le K Blog-Trotter",161,40,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-04-05 02:45:50","2017-06-03 12:56:10","2017-07-04 09:17:18",fr
70,6,37,http://mademoisellelek.com/tag/restaurant/,"Restaurant Archives - Mademoiselle Le K Blog-Trotter",177,46,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-01-26 05:28:25","2017-06-03 05:32:28","2017-06-11 16:43:48",en
71,6,37,http://mademoisellelek.com/blog/page/18/,"BLOG - Page 18 of 1066 - Mademoiselle Le K Blog-Trotter",160,40,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-06-21 17:42:50","2017-06-21 17:42:50","2017-07-26 11:28:29",fr
72,6,37,http://mademoisellelek.com/category/fooding-bars/page/2/,"Fooding & Bars Archives - Page 2 of 75 - Mademoiselle Le K Blog-Trotter",160,40,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2016-12-27 07:08:59","2017-07-12 03:16:19","2017-08-09 10:36:27",en
73,6,37,http://mademoisellelek.com/tag/hotel-review/page/5/,"Hotel Review Archives - Page 5 of 23 - Mademoiselle Le K Blog-Trotter",148,34,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-06-17 14:36:34","2017-07-11 15:06:07","2017-08-11 01:03:27",fr
74,6,37,http://mademoisellelek.com/category/on-the-road-again/page/14/,"""On the road again"" Archives - Page 14 of 232 - Mademoiselle Le K Blog-Trotter",161,40,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-05-14 15:12:19","2017-05-14 15:12:19","2017-06-15 04:17:59",fr
75,6,37,http://mademoisellelek.com/category/on-the-road-again/page/17/,"""On the road again"" Archives - Page 17 of 236 - Mademoiselle Le K Blog-Trotter",175,41,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-07-02 15:48:12","2017-07-02 15:48:12","2017-07-30 04:32:31",fr
76,6,37,http://mademoisellelek.com/category/on-the-road-again/page/19/,"""On the road again"" Archives - Page 19 of 237 - Mademoiselle Le K Blog-Trotter",158,41,https://www.merriam-webster.com/dictionary/megalith,"the comfy amchairs while looking at the giant photos of",megaliths,"surrounding Évora. Photo above : lounge in the hotel lobby",Dofollow,"Link removed","2017-08-04 22:06:48","2017-08-04 22:06:48","2017-09-11 16:47:07",fr
77,6,37,http://englishandarabic.com/dictionary/megalith,"megalith - Arabic Meaning (معنى العربية) | 'megalith' in Arabic at EnglishAndArabic.com",97,16,https://www.merriam-webster.com/dictionary/megalith,"The-definition.com Wikipedia.com Dictionary.com","Merriam Webster",Cambridge,Dofollow,,"2017-08-23 16:58:21","2017-09-12 05:32:58",,en
78,5,31,https://www.english-arabic.org/english-to-arabic-meaning-megalith,"English to Arabic Meaning of megalith",89,10,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-09-04 22:47:10","2017-09-20 22:09:04",,en
79,5,35,https://yousearch.io/Megalith,Megalith,18,12,https://www.merriam-webster.com/dictionary/megalith,,"Megalith | Definition of Megalith by Merriam-Webster",,Dofollow,,"2017-04-11 21:52:52","2017-06-16 10:28:28",,en
80,5,35,http://www.bomingles.com.br/palavras/comeco/me,"Palavras que começam com ME em inglês",16,2016,https://www.merriam-webster.com/dictionary/megalith,,megalith,,Nofollow,,"2017-01-15 18:41:52","2017-09-26 07:12:03",,en
81,5,35,http://www.bomingles.com.br/palavras/comeco/m,"Palavras que começam com M em inglês",16,11940,https://www.merriam-webster.com/dictionary/megalith,,megalith,,Nofollow,,"2017-02-03 14:25:16","2017-09-13 11:28:09",,
82,5,35,http://englishnfrench.com/dictionary/megalith,"megalith - French Meaning (Le sens français) | megalith en française sur EnglishnFrench.com",96,15,https://www.merriam-webster.com/dictionary/megalith,"The-definition.com Wikipedia.com Dictionary.com","Merriam Webster",,Dofollow,,"2017-04-27 08:11:48","2017-09-21 03:44:38",,en
83,5,20,http://www.ellenwilkin.com/,"Ellen A. Wilkin",107,69,https://www.merriam-webster.com/dictionary/megalith,"old. It is considered a ""megalith,"" which is defined in","Merriam Websters","as a very large usually rough stone used in prehistoric",Dofollow,,"2017-05-03 09:30:12","2017-09-08 11:04:49",,en
84,5,33,https://www.wordgamehelper.com/word/megalith,"megalith: Information about the word megalith - Word Game Helper",41,13,https://www.merriam-webster.com/dictionary/megalith,,"Click Here",,Nofollow,,"2017-04-30 10:41:45","2017-07-25 06:57:28",,en
85,4,30,http://english-portuguese.com/dictionary/megalith,"megalith - Portuguese Meaning (Português Significado) | 'megalith' in Portuguese at English-portuguese.com",98,15,https://www.merriam-webster.com/dictionary/megalith,"The-definition.com Wikipedia.com Dictionary.com","Merriam Webster",,Dofollow,,"2017-04-25 03:01:07","2017-09-22 06:43:58",,en
86,3,25,https://www.english-hindi.net/english-to-hindi-meaning-megalith,"English to Hindi Meaning of megalith",89,11,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-08-26 22:46:22","2017-09-11 23:57:33",,
87,3,23,https://yiddish.english-dictionary.help/english-to-yiddish-meaning-megalith,"English to Yiddish Meaning of megalith",89,10,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-09-11 10:57:22","2017-09-11 10:57:22",,en
88,3,23,https://catalan.english-dictionary.help/english-to-catalan-meaning-megalith,"English to Catalan Meaning of megalith",89,10,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-09-08 18:54:28","2017-09-08 18:54:28",,en
89,2,22,https://www.english-kannada.com/english-to-kannada-meaning-megalith,"English to Kannada Meaning of megalith",89,11,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-09-17 04:07:59","2017-09-25 03:31:06",,en
90,1,18,https://www.english-nepali.com/english-to-nepali-meaning-megalith,"English to Nepali Meaning of megalith",89,10,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-08-27 14:06:24","2017-09-12 08:43:53",,
91,0,20,http://www.ellenwilkin.com/blog/2017/4/2/eight-week-europe-solo-travel-2011-unable-to-speak-at-le-mans-grumpy-gus-kindness-rudeness-then-irony-in-saumur,"Eight-Week Europe Solo Travel 2011: Unable to Speak at Le Mans; Grumpy Gus; Kindness, Rudeness, then Irony in Saumur — Ellen A. Wilkin",70,33,https://www.merriam-webster.com/dictionary/megalith,"old. It is considered a ""megalith,"" which is defined in","Merriam Websters","as a very large usually rough stone used in prehistoric",Dofollow,,"2017-05-08 18:07:44","2017-09-25 02:28:59",,en
92,0,15,https://www.english-welsh.net/english-to-welsh-meaning-megalith,"English to Welsh Meaning of megalith",89,10,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-08-24 01:07:27","2017-09-22 04:45:58",,en
93,0,3,https://www.english-gujarati.com/english-to-gujarati-meaning-megalith,"English to Gujarati Meaning of megalith",89,11,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-08-31 06:07:31","2017-09-08 16:54:22",,
94,0,9,https://www.english-punjabi.net/english-to-punjabi-meaning-megalith,"English to Punjabi Meaning of megalith",89,11,https://www.merriam-webster.com/dictionary/megalith,"The Definition Dictionary.com","Merriam Webster",Wikipedia,Dofollow,,"2017-04-19 01:51:19","2017-09-23 20:42:01",,en
